University,Faculty name,Year of BS,University BS,State BS,Country BS,Category US BS,Year of MS,University MS,State MS,Country MS,Category US MS,Year of Phd,University Phd,State Phd,Country Phd,Category US Phd,Year of PostDoc,University PostDoc,State PostDoc,Country PostDoc,Category US PstDoc,Year Asst. Prof,Area,Category Area,University Asst. Prof,Category University (Rank),Citation,,,,,,RAW Data,RAW Data,RAW Data,RAW Data,RAW Data,,,,,
Carnegie Mellon University,Peter Steenkiste,,Ghent University - Belgium,,Belgium,0,,Stanford University - USA,CA,USA,1,,Stanford University - USA,CA,USA,1,,,,,0,,Artificial Intelligence,1,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Raj Reddy,,University of Madras - India,,India,0,,University of New South Wales - Australia,,Australia,0,,Stanford University - USA,,USA,1,,Stanford University - USA,CA,USA,1,1969,Artificial Intelligence,1,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Randy Bryant,1973,University of Michigan - USA,Michigan,USA,1,,,,,0,1981,Massachusetts Institute of Technology - USA,,USA,1,,,,,0,1984,Real-Time & Embedded Systems,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Robert Harper,,,,,0,,,,,0,,Cornell University - USA,,USA,1,,University of Edinburgh - United Kingdom,,United Kingdom,0,1988,Programming Languages,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Roni Rosenfeld,,Tel Aviv University - Israel,,Israel,0,,Carnegie Mellon University - USA,PA,USA,1,,Carnegie Mellon University - USA,PA,USA,1,,,,,0,,Bioinformatics & Computational Biology,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Russell Schwartz,,,,,0,,,,,0,,Massachusetts Institute of Technology - USA,,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,Bioinformatics & Computational Biology,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Ryan O'Donnell,,University of Toronto - Canada,,Canada,0,,,,,0,,Massachusetts Institute of Technology - USA,,USA,1,,Microsoft Research - USA,,USA,1,2006,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Seth Goldstein,,Princeton University - USA,NJ,USA,1,,University of California - Berkeley - USA,,Berkeley - USA,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,,Hardware & Architecture,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Srinivasan Seshan,,University of California - Berkeley - USA,,Berkeley - USA,1,,University of California - Berkeley - USA,,Berkeley - USA,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,2000,Networks & Communications,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Stephen Brookes,,,,,0,,,,,0,1983,University of Oxford - United Kingdom,,United Kingdom,0,,,,,0,,Programming Languages,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Steven Rudich,,,,,0,,,,,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Tai Sing Lee,,Harvard University - USA,MA,USA,1,,Harvard University - USA,MA,USA,1,,Harvard University - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,1996,Bioinformatics & Computational Biology,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Takeo Kanade,,,,,0,,,,,0,,Kyoto University - Japan,,Japan,0,,Kyoto University - Japan,,Japan,0,1980,Computer Vision,3,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Todd Mowry,,University of Virginia - USA,,USA,1,,Stanford University - USA,CA,USA,1,,Stanford University - USA,CA,USA,1,,,,,0,1997,Hardware & Architecture,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Tom M. Mitchell,,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,,Stanford University - USA,,USA,1,,,,,0,1986,Machine Learning & Pattern Recognition,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Tuomas Sandholm,,Helsinki University of Technology - Aalto University - Finland,,Aalto University - Finland,0,,University of Massachusetts - Amherst - USA,,Amherst - USA,1,,University of Massachusetts - Amherst - USA,,Amherst - USA,1,,,,,0,2001,Artificial Intelligence,1,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Umut Acar,,Bilkent University - Turkey,,Turkey,0,,University of Texas - Austin - USA,,Austin - USA,1,,Carnegie Mellon University - USA,,USA,1,,,,,0,,Programming Languages,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Venkatesan Guruswami,,Indian Institute of Technology - Madras - India,,Madras - India,0,,Massachusetts Institute of Technology - USA,MA,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,University of California - Berkeley - USA,Maryland,Berkeley - USA,1,2008,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Yiming Yang,,,,,0,,,,,0,,Kyoto University - Japan,,Japan,0,,,,,0,1996,Machine Learning & Pattern Recognition,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Yuvraj Agarwal,,Pune University - Poona - India,,Poona - India,0,,University of California - Irvine - USA,,Irvine - USA,1,,University of California - San Diego - USA,,San Diego - USA,1,,,,,0,2013,Networks & Communications,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Anil Ada,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Nina Balcan,2000,"University of Bucharest, Romania.",,,0,2002,"University of Bucharest, Romania",,,0,2008,Carnegie Mellon University,PA,,0,,,,,0,2009,Machine Learning,,Georgia Tech,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Stephanie Balzer,,,,,0,,,,,0,,,,,0,,,,,0,,Principles of Programming,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Nathan Beckmann,,,,,0,,,,,0,,,,,0,,,,,0,,Computer Architecture,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Daniel Berger,,,,,0,,,,,0,,,,,0,,,,,0,,Algorithms and Programming Languages,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Iliano Cervesato,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Tianqi Chen,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Panos Chrysanthis,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Thomas Cortina,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Keenan Crane,,,,,0,,,,,0,,,,,0,,,,,0,,Graphics,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Roger Dannenberg,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Dave Eckhardt,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Scott Fahlman,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Giulia Fanti,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Eugene Fink,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,,,,,,,,,,,,
